110	超级	20100701	1.31	1.50	2.2	1.01	123
110	超级	20100702	1.99	1.31	2.01	1.50	24
110	超级	20100703	1.31	1.55	1.85	1.30	236
110	超级	20100703	1.55	1.66	1.77	1.10	415
110	超级	20100704	1.31	1.50	2.2	1.01	123
110	超级	20100705	1.99	1.31	2.01	1.50	120
110	超级	20100706	1.31	1.55	1.85	1.30	210
110	超级	20100707	1.55	1.66	1.77	1.10	210
110	超级	20100708	1.31	1.50	2.2	1.01	124
110	超级	20100709	1.99	1.31	2.01	1.50	56
110	超级	20100710	1.31	1.55	1.85	1.30	98
110	超级	20100711	1.55	1.66	1.77	1.10	56
110	超级	20100712	1.31	1.50	2.2	1.01	85
110	超级	20100713	1.99	1.31	2.01	1.50	26
110	超级	20100714	1.31	1.55	1.85	1.30	23
110	超级	20100715	1.55	1.66	1.77	1.10	240
